entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason
2025-11-25 23:09:00,2025-11-25 23:17:00,SHORT,87113.72,87377.93,-264.20999999999185,Stop Loss
2025-11-25 23:18:00,2025-11-25 23:33:00,LONG,87373.16,87134.59,-238.570000000007,Stop Loss
2025-11-26 00:24:00,2025-11-26 00:39:00,LONG,87069.56,87514.35,444.79000000000815,Take Profit
2025-11-26 01:31:00,2025-11-26 02:22:00,SHORT,87491.43,87670.01,-178.58000000000175,Stop Loss
2025-11-26 02:41:00,2025-11-26 02:49:00,SHORT,87510.3,87684.16,-173.86000000000058,Stop Loss
2025-11-26 02:57:00,2025-11-26 03:31:00,SHORT,87494.63,87740.47,-245.8399999999965,Stop Loss
2025-11-26 04:21:00,2025-11-26 05:31:00,SHORT,87852.31,87622.6,229.70999999999185,Take Profit
2025-11-26 05:32:00,2025-11-26 05:35:00,SHORT,87657.96,87393.66,264.3000000000029,Take Profit
2025-11-26 06:27:00,2025-11-26 07:08:00,LONG,87206.12,87438.73,232.6100000000006,Take Profit
2025-11-26 07:59:00,2025-11-26 08:08:00,SHORT,87509.25,87648.12,-138.86999999999534,Stop Loss
2025-11-26 08:18:00,2025-11-26 08:50:00,SHORT,87507.56,87678.35,-170.79000000000815,Stop Loss
2025-11-26 09:33:00,2025-11-26 09:49:00,SHORT,87723.23,87838.73,-115.5,Stop Loss
2025-11-26 10:08:00,2025-11-26 10:37:00,SHORT,87717.4,87460.79,256.6100000000006,Take Profit
2025-11-26 12:06:00,2025-11-26 12:21:00,LONG,86983.6,86814.94,-168.6600000000035,Stop Loss
2025-11-26 12:43:00,2025-11-26 14:00:00,LONG,86864.89,87122.59,257.6999999999971,Take Profit
2025-11-26 14:05:00,2025-11-26 14:15:00,SHORT,86802.88,86503.56,299.320000000007,Take Profit
2025-11-26 14:46:00,2025-11-26 15:37:00,LONG,86648.69,86859.48,210.7899999999936,Take Profit
2025-11-26 16:56:00,2025-11-26 18:10:00,SHORT,87112.35,87459.74,-347.3899999999994,Stop Loss
2025-11-26 18:53:00,2025-11-26 18:55:00,SHORT,87494.77,87694.29,-199.51999999998952,Stop Loss
2025-11-26 18:57:00,2025-11-26 19:25:00,LONG,87817.65,88152.39,334.74000000000524,Take Profit
2025-11-26 20:36:00,2025-11-26 22:06:00,SHORT,89968.54,89520.98,447.5599999999977,Take Profit
